cross_id,x,y,pass_end_x,pass_end_y
1,89.6,9.5,91.7,39.7
2,83.5,89.6,95.9,51.3
7,94.6,81.1,93.8,76.7
8,84.9,2.9,85.1,48.8
9,99.1,70.9,98.2,68.7
10,84.9,73.2,92.4,47.2
11,88,75.6,88.2,44.7
12,98.8,82,94.8,49.4
13,87.7,82,89.7,50
14,96.1,84.1,95.2,58.8
15,78.7,8.2,89.8,30.6
16,93,85.3,90.9,46.6
17,95.7,24.6,96.4,35.7
19,91,18.2,97.4,49
21,99.5,16.7,96.9,51
22,92.5,83.9,92.8,79.9
24,90.3,23.7,92.3,60.6
25,84.9,15.5,89.1,44.5
27,92.6,83.6,92.6,80.6
30,81.9,90.3,90.4,58.2
31,85,83.6,88.2,59.9
33,75.2,90.7,95.9,49.7
36,79.8,84.8,86.2,56.9
37,79.6,26.2,85.5,38.2
38,88.3,87.7,95.4,53.7
39,90.7,8,86.7,38.5
40,94.6,14.7,91.6,32.6
42,88.2,81.2,90,44.8
43,95.4,76,95.6,73.5
45,75.3,94.2,92.3,52.8
46,88.9,86.2,91.4,40
47,96.5,75.6,96.4,53.1
48,79.1,81.8,94.7,24.6
49,98.6,82.1,92,46
50,98.4,27.4,97.6,29.7
51,86.2,15.2,91.8,44.3
52,95.9,72.4,96.8,53.1
54,96.3,8.7,81.8,67.2
55,90.9,70.6,89.6,46
56,99.2,61.7,99.2,59.7
57,97.3,89.1,90.5,43.6
60,91.2,88.2,91.2,68.4
65,94.4,76.9,96,38.8
68,97.5,97.4,95.2,56.4
69,88.4,10.2,92.3,44.8
70,81.5,16.7,91.7,52.3
72,70.4,94.7,88.4,62.1
73,97.5,19.8,88.4,58
74,98.2,19.9,94.1,32.6
75,84.8,22.8,91.9,48.5
78,78.2,17.1,95.7,62
79,91.7,85,93.4,55.2
80,98.6,82.6,94.2,55.3
81,98.1,85.5,91.1,46.9
82,84.9,19.2,88.1,47.8
83,89.5,17.2,88.8,28.1
86,86.5,19.8,86.9,26.7
88,89.4,77.3,96.4,51.8
91,89,22.8,88.3,47.5
92,91.8,17.9,87.3,47
93,84.5,79.1,90.9,45.2
94,88,78.2,89.9,35.6
95,87.2,26.3,87.8,56.3
97,76.1,97.7,85.9,62.9
103,72,68.3,92.5,50.9
104,86.6,81.2,93.4,51.7
105,87.7,23.7,88.6,28.8
